sector_id,sector_name,ticker,instrument_name,data_type,baseline_2023-12_price,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
semis,반도체,091160,KODEX 반도체,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi_equip,반도체장비/소재,,,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
battery,2차전지/배터리,305720,KODEX 2차전지산업,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power_equip,전력기기,,,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cosmetics,화장품,,,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
defense,방위산업,490480,SOL K방산,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shipbuilding,조선,,,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auto_parts,자동차부품,,,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steel,철강,,,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chemicals,화학소재,,,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banks,은행,091220,TIGER 은행,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
securities,증권,,,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharma,제약,,,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biotech,바이오텍,,,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
internet,인터넷/포털,,,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaming,게임,,,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telecom,통신서비스,,,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power_utility,전력유틸리티,,,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
construction_machinery,건설/기계,,,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
